item,value,note,source
Feedstock,crop residue (rice straw/parali, bagasse, bamboo),agricultural WASTE -- not food/feed,PM JI-VAN
Panipat (IOCL) 2G plant,100 KLPD; 3 cr L/yr; 2 lakh t rice straw,commercial 11-Nov-2023; cost Rs984 cr,PIB/ChiniMandi
Bargarh (BPCL),100 KLPD paddy-straw,PM JI-VAN commercial,PIB
Bathinda (HPCL),100 KLPD paddy-straw,under development,PIB
Numaligarh (NRL),185 KLPD bamboo,inaugurated Sep-2025,PIB
PM JI-VAN Yojana,6 commercial + 4 demo 2G plants,,PIB PRID 2038432
India crop residue,~500 MT/yr; ~140 MT surplus,much burned (NCR stubble smog),MNRE/IARI
2G yield,~150-200 L/tonne straw,lower than 1G grain (~380-450),Panipat ratio (2 lakh t -> 3 cr L)
Theoretical 2G potential,~2,000 cr L,~1.5x E20 requirement from waste alone; capital/logistics constrained,derived
Food/feed competition,zero,no rice buffer draw, no maize imports, no feed inflation,synthesis
Caveat,capital+tech heavy (Rs984 cr/100 KLPD ~10x 1G capex/L; enzyme cost; biomass logistics); tiny output today,the long-run (5-10 yr) lever not near-term volume,synthesis
