sno,district_division_mandal_godown_category,apscscl_reserved_mt,total_capacity_mt,latlong
1,"Anantapur Anantapur Anantapur SWC, Anantapur SWC, Own",-,10000,"14.695586, 77.608059"
2,"Anantapur Anantapur Anantapur CWC, Anantapur CWC",-,7700,"14.695586, 77.608059"
3,Anantapur Ananthapur Atmakur ATMAKUR Others,2000,2000,"15.873576, 78.578505"
4,"Anantapur Ananthapur Guntakal FCI, Timmancherla SWC, HG",26485,26480,"15.1593818971, 77.389781745"
5,"Anantapur Ananthapur Guntakal SWC, Guntakal SWC, Own",-,1000,"15.1575278129, 77.3857258627"
6,Anantapur Dharmavaram Kanaganapalle KANAGANAPALLI Others,2000,2000,"14.444371, 77.525255"
7,Anantapur Dharmavaram Ramagiri RAMAGIRI Others,1000,1000,"14.308766, 77.500908"
8,Anantapur Dharmavaram Raptadu RAPTHADU Others,2000,2000,"14.5681075753, 77.6472027346"
9,"Anantapur Penukonda Hidupur SWC, Hindupur SWC, Own",-,5175,"13.829591, 77.492024"
10,"Chittoor Chittoor Chittoor SWC, Chittoor SWC, Own",-,5800,"13.221828, 79.123509"
11,"Chittoor Madanapalle Pileru SWC, Pileru SWC, Own",-,2150,"13.651839, 78.936077"
12,"Chittoor Tirupathi Renigunta CWC, Renigunta CWC",5000,20000,"13.631071, 79.504996"
13,"Chittoor Tirupathi Yerpedu PWS, Yerpedu CSC IG",70000,70000,"13.6849607545, 79.5746439844"
14,"East Godavari Amalapuram Amalapuram SWC Katrenikona SWC, Own",10000,10000,"16.580802, 82.153702"
15,"East Godavari Amalapuram Ravulapalem SWC (IG) Ravulapalem SWC, IG",15000,15000,"16.75270,81.83716"
16,"East Godavari Amalapuram Razole SWC (IG) Razole (Sompalli) SWC, IG",20000,10000,"16.48280,81.85669"
17,"East Godavari Amalapuram Sakhinetipalle SWC Sakhinetipalli SWC, Own",4000,8000,"16.431644, 81.721534"
18,"East Godavari Kakinada Gollaprolu SWC Gollaprolu SWC, Own",5500,10000,"17.15665,82.27869"
19,East Godavari Kakinada Kakinada Rural CWC Kakinada CWC,10000,30000,"16.946118, 82.247651"
20,"East Godavari Kakinada Karapa SWC Nadakuduru (Sampara) SWC, Own",11700,27100,"16.922113, 82.210041"
21,East Godavari Kakinada Karapa 3 SEASON LOGISTICS KARAPA CSC IG,79604,79604,"16.903034, 82.168654"
22,"East Godavari Kakinada Karapa SWC, Karapa(IG) SWC, IG",-,80000,"16.902132, 82.168250"
23,"East Godavari Kakinada Pithapuram SWC (IG) Pithapuram SWC, Own",5000,8000,"17.190760, 82.263721"
24,"East Godavari Kakinada Samalkota SWC (IG) Samalkot SWC, IG",35000,50000,"17.04550,82.15447"
25,"East Godavari Kakinada Thallarevu SWC (IG) (RL) Chollangi SWC, IG",15000,30000,"16.900484, 82.236449"
26,"East Godavari Peddapuram Kirlampudi SWC Kirlampudi SWC, Own",5000,15000,"17.208391, 82.182322"
27,"East Godavari Peddapuram Tuni SWC (IG) Tuni SWC, IG",10000,10000,"17.305842, 82.486820"
28,East Godavari Rajamahendravaram Rajamahendravaram Rural CWC RAJAHMUNDRY CWC,5000,50000,"17.019761, 81.793599"
29,"East Godavari Rajamahendravaram Rajamahendravaram Rural SWC, Rajahmundry (IG) SWC, IG",-,50000,"17.019761, 81.793599"
30,East Godavari Ramachandrapuram Anaparthi CSC (IG) (KVR) Anaparthi CSC IG,10000,10000,"16.932181, 81.947104"
31,East Godavari Ramachandrapuram Anaparthi PWS (AWCPL) Anaparthi CSC IG,79082,79082,"16.934743, 81.950531"
32,"East Godavari Ramachandrapuram Biccavolu SWC (IG) Kanedu SWC, IG",18000,38000,"16.970975, 82.015977"
33,"East Godavari Ramachandrapuram Biccavolu SWC (IG) Biccavole SWC, IG",20000,20000,"16.97600,82.03273"
34,"East Godavari Ramachandrapuram Biccavolu LAKSHMI SWC IG BICCAVOLU SWC, IG",30000,30000,"16.97600,82.03273"
35,"East Godavari Ramachandrapuram Biccavolu SWC (IG) Balabhadrapuram SWC, IG",-,30000,"16.98329,81.99507"
36,"East Godavari Ramachandrapuram Mandapeta SWC (PEG) Dwarapudi SWC, Own & PEG",10000,15000,"16.930592, 81.901696"
37,"East Godavari Ramachandrapuram Mandapeta SWC Mandapeta SWC, Own",15000,10100,"16.854850, 81.938864"
38,"East Godavari Ramachandrapuram Mandapeta SWC (IG) Dwarapudi SWC, IG",26667,45000,"16.930592, 81.901696"
39,"East Godavari Ramachandrapuram Mandapeta SWC, Vemulapalli SWC, Own",-,30000,"16.864110, 81.926374"
40,"East Godavari Ramachandrapuram Mandapeta SWC, Mandapeta (IG) SWC, IG",-,20000,"16.930592, 81.901696"
41,"East Godavari Ramachandrapuram Mandapeta SWC (IG) Vemulapalli SWC, IG",-,10000,"16.864110, 81.926374"
42,"East Godavari Ramachandrapuram Ramachandrapuram SWC (IG) R. C. Puram SWC, IG",10000,10000,"16.849347, 82.050979"
43,"Guntur Guntur Guntur CWC,GUNTUR CWC",15000,25805,"16.290795, 80.422523"
44,"Guntur Guntur Pedakakani CWC,PEDAKAKANI CWC",31000,71170,"16.33890,80.48465"
