crop,season,a2fl_rs_qtl,cng_fuel_saving_qtl,fom_fertiliser_offset_qtl,net_residue_income_qtl,total_benefit_qtl,net_a2_improvement_pct
Sesamum,2025-26,6564.0,141.8,157.5,48.0,347.3,5.3
Nigerseed,2025-26,6358.0,137.3,152.6,48.0,337.9,5.3
Tur (Arhar),2026-27,5496.0,118.7,131.9,52.5,303.1,5.5
Moong,2026-27,5438.0,104.4,130.5,48.0,282.9,5.2
Sunflower Seed,2025-26,5147.0,123.5,123.5,48.0,295.1,5.7
Cotton (Medium Staple),2025-26,5140.0,148.0,123.4,135.0,406.4,7.9
Urad,2025-26,5114.0,98.2,122.7,48.0,268.9,5.3
Groundnut,2025-26,4842.0,127.8,116.2,28.0,272.0,5.6
Safflower,2026-27,4360.0,94.2,104.6,48.0,246.8,5.7
Lentil (Masur),2026-27,3705.0,80.0,88.9,48.0,216.9,5.9
Gram,2026-27,3699.0,79.9,88.8,48.0,216.7,5.9
Soybean (Yellow),2025-26,3552.0,85.2,85.2,42.0,212.5,6.0
Ragi,2026-27,3470.0,66.6,83.3,48.0,197.9,5.7
Rapeseed & Mustard,2026-27,3210.0,69.3,77.0,48.0,194.4,6.1
Jowar (Hybrid),2026-27,2682.0,51.5,64.4,52.8,168.7,6.3
Bajra,2026-27,1858.0,35.7,44.6,52.8,133.1,7.2
Paddy (Common),2026-27,1627.0,54.7,39.0,90.0,183.7,11.3
Maize,2026-27,1544.0,37.1,37.1,55.0,129.1,8.4
Barley,2026-27,1361.0,32.7,32.7,48.0,113.3,8.3
Wheat,2026-27,1239.0,32.7,29.7,99.0,161.4,13.0
