marketing_season,season_type,crop,msp_rs_qtl,cost_a2fl_rs_qtl,margin_over_a2fl_pct_pib,margin_over_a2fl_pct_derived,c2_rs_qtl,margin_over_c2_pct_derived,source_msp_cost,source_c2,note
2022-23,kharif,Paddy (Common),2040,1360,50,50.0,1805,13.0,https://pib.gov.in/PressReleasePage.aspx?PRID=1832174,https://fas.org.in/kharif-msp-announcement-has-to-reconcile-with-rising-costs-across-india/,
2022-23,kharif,Paddy (Grade A),2060,,,,,,https://pib.gov.in/PressReleasePage.aspx?PRID=1832174,,
2022-23,kharif,Jowar (Hybrid),2970,1977,50,50.2,,,https://pib.gov.in/PressReleasePage.aspx?PRID=1832174,,
2022-23,kharif,Bajra,2350,1268,85,85.3,,,https://pib.gov.in/PressReleasePage.aspx?PRID=1832174,,
2022-23,kharif,Ragi,3578,2385,50,50.0,,,https://pib.gov.in/PressReleasePage.aspx?PRID=1832174,,
2022-23,kharif,Maize,1962,1308,50,50.0,,,https://pib.gov.in/PressReleasePage.aspx?PRID=1832174,,
2022-23,kharif,Tur (Arhar),6600,4131,60,59.8,,,https://pib.gov.in/PressReleasePage.aspx?PRID=1832174,,
2022-23,kharif,Moong,7755,5167,50,50.1,,,https://pib.gov.in/PressReleasePage.aspx?PRID=1832174,,
2022-23,kharif,Urad,6600,4155,59,58.8,,,https://pib.gov.in/PressReleasePage.aspx?PRID=1832174,,
2022-23,kharif,Groundnut,5850,3873,51,51.0,,,https://pib.gov.in/PressReleasePage.aspx?PRID=1832174,,
2022-23,kharif,Sunflower Seed,6400,4113,56,55.6,,,https://pib.gov.in/PressReleasePage.aspx?PRID=1832174,,
2022-23,kharif,Soybean (Yellow),4300,2805,53,53.3,,,https://pib.gov.in/PressReleasePage.aspx?PRID=1832174,,
2022-23,kharif,Sesamum,7830,5220,50,50.0,,,https://pib.gov.in/PressReleasePage.aspx?PRID=1832174,,
2022-23,kharif,Nigerseed,7287,4858,50,50.0,,,https://pib.gov.in/PressReleasePage.aspx?PRID=1832174,,
2022-23,kharif,Cotton (Medium Staple),6080,4053,50,50.0,,,https://pib.gov.in/PressReleasePage.aspx?PRID=1832174,,
2023-24,kharif,Paddy (Common),2183,1455,50,50.0,1911,14.2,https://pib.gov.in/PressReleasePage.aspx?PRID=1930443,https://farmingcosmos.com/paddy-comprehensive-cost-of-production-for-kms-2023-24-is-rs-1911-per-quintal/,
2023-24,kharif,Paddy (Grade A),2203,,,,,,https://pib.gov.in/PressReleasePage.aspx?PRID=1930443,,
2023-24,kharif,Jowar (Hybrid),3180,2120,50,50.0,,,https://pib.gov.in/PressReleasePage.aspx?PRID=1930443,,
2023-24,kharif,Bajra,2500,1371,82,82.3,,,https://pib.gov.in/PressReleasePage.aspx?PRID=1930443,,
2023-24,kharif,Ragi,3846,2564,50,50.0,,,https://pib.gov.in/PressReleasePage.aspx?PRID=1930443,,
2023-24,kharif,Maize,2090,1394,50,49.9,,,https://pib.gov.in/PressReleasePage.aspx?PRID=1930443,,
2023-24,kharif,Tur (Arhar),7000,4444,58,57.5,,,https://pib.gov.in/PressReleasePage.aspx?PRID=1930443,,
2023-24,kharif,Moong,8558,5705,50,50.0,,,https://pib.gov.in/PressReleasePage.aspx?PRID=1930443,,
2023-24,kharif,Urad,6950,4592,51,51.4,,,https://pib.gov.in/PressReleasePage.aspx?PRID=1930443,,
