year,product,measure,quantity_lmt,value_rs_cr,source,note
2022-23,UREA,sales,357.26,,https://pib.gov.in/PressReleasePage.aspx?PRID=2244621,DBT PoS sales
2022-23,DAP,sales,105.31,,https://pib.gov.in/PressReleasePage.aspx?PRID=2244621,DBT PoS sales
2022-23,MOP,sales,16.32,,https://pib.gov.in/PressReleasePage.aspx?PRID=2244621,DBT PoS sales
2022-23,NPKS,sales,107.31,,https://pib.gov.in/PressReleasePage.aspx?PRID=2244621,DBT PoS sales
2023-24,UREA,sales,357.81,,https://pib.gov.in/PressReleasePage.aspx?PRID=2244621,DBT PoS sales
2023-24,DAP,sales,109.73,,https://pib.gov.in/PressReleasePage.aspx?PRID=2244621,DBT PoS sales
2023-24,MOP,sales,16.45,,https://pib.gov.in/PressReleasePage.aspx?PRID=2244621,DBT PoS sales
2023-24,NPKS,sales,116.8,,https://pib.gov.in/PressReleasePage.aspx?PRID=2244621,DBT PoS sales
2024-25,UREA,sales,387.92,,https://pib.gov.in/PressReleasePage.aspx?PRID=2244621,DBT PoS sales
2024-25,DAP,sales,96.29,,https://pib.gov.in/PressReleasePage.aspx?PRID=2244621,DBT PoS sales
2024-25,MOP,sales,22.02,,https://pib.gov.in/PressReleasePage.aspx?PRID=2244621,DBT PoS sales
2024-25,NPKS,sales,149.72,,https://pib.gov.in/PressReleasePage.aspx?PRID=2244621,DBT PoS sales
2025-26,UREA,sales,387.51,,https://pib.gov.in/PressReleasePage.aspx?PRID=2244621,DBT PoS sales; 2025-26 till 18.03.2026
2025-26,DAP,sales,98.57,,https://pib.gov.in/PressReleasePage.aspx?PRID=2244621,DBT PoS sales; 2025-26 till 18.03.2026
2025-26,MOP,sales,21.81,,https://pib.gov.in/PressReleasePage.aspx?PRID=2244621,DBT PoS sales; 2025-26 till 18.03.2026
2025-26,NPKS,sales,147.15,,https://pib.gov.in/PressReleasePage.aspx?PRID=2244621,DBT PoS sales; 2025-26 till 18.03.2026
2022-23,UREA,assessed_requirement,359.19,,https://pib.gov.in/PressReleasePage.aspx?PRID=2244621,DA&FW seasonal assessment
2022-23,DAP,assessed_requirement,114.2,,https://pib.gov.in/PressReleasePage.aspx?PRID=2244621,DA&FW seasonal assessment
2022-23,MOP,assessed_requirement,34.17,,https://pib.gov.in/PressReleasePage.aspx?PRID=2244621,DA&FW seasonal assessment
2022-23,NPKS,assessed_requirement,120.69,,https://pib.gov.in/PressReleasePage.aspx?PRID=2244621,DA&FW seasonal assessment
2023-24,UREA,assessed_requirement,356.08,,https://pib.gov.in/PressReleasePage.aspx?PRID=2244621,DA&FW seasonal assessment
2023-24,DAP,assessed_requirement,110.18,,https://pib.gov.in/PressReleasePage.aspx?PRID=2244621,DA&FW seasonal assessment
2023-24,MOP,assessed_requirement,27.62,,https://pib.gov.in/PressReleasePage.aspx?PRID=2244621,DA&FW seasonal assessment
2023-24,NPKS,assessed_requirement,126.31,,https://pib.gov.in/PressReleasePage.aspx?PRID=2244621,DA&FW seasonal assessment
2024-25,UREA,assessed_requirement,364.01,,https://pib.gov.in/PressReleasePage.aspx?PRID=2244621,DA&FW seasonal assessment
2024-25,DAP,assessed_requirement,111.92,,https://pib.gov.in/PressReleasePage.aspx?PRID=2244621,DA&FW seasonal assessment
2024-25,MOP,assessed_requirement,22.21,,https://pib.gov.in/PressReleasePage.aspx?PRID=2244621,DA&FW seasonal assessment
2024-25,NPKS,assessed_requirement,151.29,,https://pib.gov.in/PressReleasePage.aspx?PRID=2244621,DA&FW seasonal assessment
2025-26,UREA,assessed_requirement,375.18,,https://pib.gov.in/PressReleasePage.aspx?PRID=2244621,DA&FW seasonal assessment
2025-26,DAP,assessed_requirement,109.39,,https://pib.gov.in/PressReleasePage.aspx?PRID=2244621,DA&FW seasonal assessment
2025-26,MOP,assessed_requirement,26.07,,https://pib.gov.in/PressReleasePage.aspx?PRID=2244621,DA&FW seasonal assessment
2025-26,NPKS,assessed_requirement,155.54,,https://pib.gov.in/PressReleasePage.aspx?PRID=2244621,DA&FW seasonal assessment
2022-23,UREA,production,284.94,,https://pib.gov.in/PressReleasePage.aspx?PRID=2244621,
2022-23,DAP,production,43.47,,https://pib.gov.in/PressReleasePage.aspx?PRID=2244621,
2022-23,SSP,production,56.44,,https://pib.gov.in/PressReleasePage.aspx?PRID=2244621,
2022-23,NPKS,production,100.4,,https://pib.gov.in/PressReleasePage.aspx?PRID=2244621,
2023-24,UREA,production,314.09,,https://pib.gov.in/PressReleasePage.aspx?PRID=2244621,
2023-24,DAP,production,42.93,,https://pib.gov.in/PressReleasePage.aspx?PRID=2244621,
2023-24,SSP,production,44.44,,https://pib.gov.in/PressReleasePage.aspx?PRID=2244621,
2023-24,NPKS,production,101.85,,https://pib.gov.in/PressReleasePage.aspx?PRID=2244621,
