sno,zone,region,district,depot,depot_type,agency,vendor1_status,vendor2_status
1,East,WEST BENGAL,MALDA,MANGALBARI,OWNED,FCI,IP,IC
2,East,WEST BENGAL,BIRBHUM,BIRBHUM,OWNED,FCI,IC,IC
3,East,WEST BENGAL,HOOGHLY,SERAMPUR,OWNED,FCI,IP,IC
4,East,WEST BENGAL,HOOGHLY,CHINSURA,OWNED,FCI,IP,IC
5,East,WEST BENGAL,DURGAPUR,DURGAPUR,OWNED,FCI,IP,IC
6,East,WEST BENGAL,PURULIA,CHARA,OWNED,FCI,IP,IC
7,East,WEST BENGAL,BANKURA,BIKNA,OWNED,FCI,IP,IC
8,East,JHARKHAND,RANCHI,TATISILWAI,HIRED,ARDC,IP,IC
9,East,BIHAR,MOTIHARI,DISTRICT,FCI,IP,IC,
10,East,BIHAR,MADHUBANI,DISTRICT,FCI,IP,IC,
11,East,BIHAR,MADHEPURA,DISTRICT,FCI,SNR,SNR,
12,East,BIHAR,DARBHANGA,DARBHANGA,HIRED,CWC,SNR,SNR
13,East,BIHAR,SAMASTIPUR,SAMASTIPUR,HIRED,CWC,IC,IC
14,East,BIHAR,PURNEA,KISHENGANJ,HIRED,CWC,SNR,SNR
15,East,BIHAR,PURNEA,KATIHAR,HIRED,CWC,SNR,SNR
16,East,BIHAR,BHAGALPUR,MUNGER,HIRED,CWC,SNR,SNR
17,East,ORISSA,CUTTACK,JAGATPUR,SWC,IC,IC,
18,West,MAHARASHTRA,PUNE,FSD PUNE,OWNED,FCI,IC,IC
19,West,MAHARASHTRA,NAGPUR,NAGPUR,OWNED,FCI,IC,IC
20,West,MAHARASHTRA,PANVEL,PANVEL,OWNED,FCI,IP,IC
21,West,MAHARASHTRA,NAGPUR,AKOLA,HIRED,ARDC,IC,SNR
22,West,MAHARASHTRA,NAGPUR,AMARAVATI,HIRED,ARDC,IC,SNR
23,West,MAHARASHTRA,PUNE,AHMADNAGAR,HIRED,ARDC,IC,IC
24,West,MAHARASHTRA,MANMAD,NANDED,HIRED,CWC,IC,IC
25,West,MAHARASHTRA,NAGPUR,SOUNDED,HIRED,CWC,IC,SNR
26,West,MAHARASHTRA,MANMAD,DHULE,HIRED,CWC,IC,SNR
27,West,MAHARASHTRA,PANVEL,DISTRICT,FCI,IC,IC,
28,West,GUJARAT,BARODA,SURAT,HIRED,CWC,IC,IC
29,West,GUJARAT,BARODA,NADIAD,HIRED,CWC,IC,IC
30,West,CHATTISGARH,RAIPUR,ARJUNI,OWNED,FCI,IC,IC
31,West,CHATTISGARH,RAIPUR,NEORA,OWNED,FCI,IC,IC
32,West,CHATTISGARH,BILASPUR,AKALTARA,HIRED,ARDC,IP,IC
33,North,H.P.,MANDI,KARGA,OWNED,FCI,ORDER CANCELLED,ORDER CANCELLED
