year,mode,quantity_lmt,source,note
2013-14,rail,392.44,FCI Handbook 2020 (Institute of Food Security) - Movement Operations,
2013-14,road,55.37,FCI Handbook 2020,
2013-14,waterways,0,FCI Handbook 2020,
2014-15,rail,408.28,FCI Handbook 2020,
2014-15,road,57.82,FCI Handbook 2020,
2014-15,waterways,1.04,FCI Handbook 2020,
2015-16,rail,330.71,FCI Handbook 2020,
2015-16,road,53.51,FCI Handbook 2020,
2015-16,waterways,0.27,FCI Handbook 2020,
2016-17,rail,349.88,FCI Handbook 2020,
2016-17,road,59.93,FCI Handbook 2020,
2016-17,waterways,0.16,FCI Handbook 2020,
2017-18,rail,353.20,FCI Handbook 2020,
2017-18,road,67.04,FCI Handbook 2020,
2017-18,waterways,0,FCI Handbook 2020,
2018-19,rail,303.33,FCI Handbook 2020,
2018-19,road,79.30,FCI Handbook 2020,
2018-19,waterways,0.46,FCI Handbook 2020,
2019-20,rail,241.56,FCI Handbook 2020,partial year to Jan-2020
2019-20,road,78.17,FCI Handbook 2020,partial year to Jan-2020
2019-20,waterways,0.54,FCI Handbook 2020,partial year to Jan-2020
