state,fci_storage_lmt_nov2024,sfac_fpos_feb2025,lead_feedstock
Madhya Pradesh,200.4,348,"wheat, soybean, pulses, mustard"
Punjab,174.5,78,"wheat, paddy (surplus)"
Uttar Pradesh,47.2,758,"wheat, paddy, sugarcane"
Haryana,100.2,119,"wheat, paddy, mustard"
Bihar,20.9,312,"paddy, wheat, pulses"
Andhra Pradesh,24.6,247,"paddy, groundnut"
Maharashtra,24.3,213,"soybean, tur, cotton, oilseeds"
Chhattisgarh,35.5,68,paddy
Rajasthan,16.4,225,"mustard, pulses, bajra"
Telangana,24.4,116,"paddy, groundnut"
West Bengal,20.0,156,"paddy, oilseeds"
Tamil Nadu,20.9,90,"paddy, groundnut, pulses"
Odisha,12.6,164,paddy
Gujarat,9.8,141,"groundnut, cotton, oilseeds"
Assam,5.3,176,"paddy, mustard"
Jharkhand,6.3,93,"paddy, pulses"
Karnataka,9.7,52,"pulses, oilseeds, millets"
Kerala,7.9,50,"coconut, rice bran"
Uttarakhand,3.5,43,mixed
Himachal Pradesh,1.0,60,mixed
Tripura,1.4,36,mixed
Arunachal Pradesh,0.4,39,mixed
Delhi,3.3,9,mixed
Jammu & Kashmir,2.3,0,mixed
Mizoram,0.7,14,mixed
Meghalaya,0.5,13,mixed
Manipur,0.7,10,mixed
Nagaland,0.7,8,mixed
Goa,0.2,11,mixed
Puducherry,0.5,0,mixed
Ladakh,0.3,0,mixed
Andaman & Nicobar,0.2,0,mixed
Sikkim,0.2,0,mixed
Chandigarh,0.1,0,mixed
Lakshadweep,0.0,0,mixed
D&NH and D&D,0.0,0,mixed
