year,proc_rice_lmt,proc_wheat_lmt,proc_total_lmt,offtake_rice_lmt,offtake_wheat_lmt,offtake_total_lmt,stocks_rice_lmt,stocks_wheat_lmt,stocks_total_lmt
1987-88,69.0,78.8,147.8,101.1,127.8,228.9,59.1,33.4,94.3
1988-89,77.3,65.4,142.7,90.8,86.6,177.4,38.6,23.1,61.8
1989-90,118.7,90.0,208.7,74.8,75.1,149.9,70.6,34.6,105.2
1990-91,126.7,110.7,237.4,79.1,85.8,164.9,102.1,56.0,158.1
1991-92,102.5,77.5,180.0,102.6,104.8,207.4,88.6,22.1,110.7
1992-93,130.5,63.8,194.3,98.9,80.6,179.5,99.3,27.4,126.7
1993-94,142.6,68.9,211.5,94.6,91.4,186.0,135.5,70.0,205.4
1994-95,137.1,118.7,255.8,88.5,105.9,194.4,180.8,87.2,268.0
1995-96,100.5,123.3,223.8,116.3,127.2,243.5,130.6,77.6,208.2
1996-97,129.6,81.6,211.2,123.1,133.2,256.3,131.7,32.4,164.1
1997-98,155.5,93.0,248.5,112.0,77.6,189.6,130.5,50.8,181.2
1998-99,126.0,126.5,252.5,118.3,89.0,207.3,121.6,96.6,218.2
1999-00,182.3,141.4,323.7,124.2,106.3,230.5,157.2,131.9,289.1
2000-01,212.8,163.6,376.4,104.2,77.9,182.1,231.9,215.0,449.8
2001-02,221.3,206.3,427.6,153.2,159.9,313.1,249.1,260.4,510.2
2002-03,164.1,190.3,354.4,248.5,249.9,498.4,171.6,156.5,328.1
2003-04,229.0,158.0,387.0,250.4,242.9,493.3,130.7,69.3,206.5
2004-05,246.7,168.0,414.7,232.0,182.7,414.7,133.4,40.7,179.7
2005-06,275.8,147.9,423.7,250.8,171.7,422.5,136.8,20.1,166.2
2006-07,251.1,92.3,343.4,250.6,117.1,367.7,131.7,47.0,179.3
2007-08,287.4,111.3,398.7,252.3,122.1,374.4,138.4,58.0,197.5
2008-09,341.0,226.9,567.9,246.2,148.8,395.0,216.0,134.3,355.8
2009-10,320.3,253.8,574.1,273.7,223.5,497.2,267.1,161.3,433.1
2010-11,342.0,225.1,567.1,299.3,230.7,530.0,288.2,153.6,443.1
2011-12,350.6,283.3,633.9,321.2,242.6,563.8,333.5,199.5,534.0
2012-13,340.4,382.2,722.6,326.4,332.1,658.5,354.7,242.1,597.6
2013-14,318.5,250.7,569.2,292.1,306.2,598.4,305.0,178.3,494.7
2014-15,320.4,281.3,601.7,307.3,252.2,559.4,237.9,172.2,413.1
2015-16,342.2,280.9,623.1,318.2,318.4,636.6,287.8,145.4,435.7
2016-17,381.1,229.3,610.4,327.9,291.0,618.9,297.5,80.6,379.7
2017-18,381.8,308.3,690.1,350.1,252.8,602.8,300.2,132.3,433.6
2018-19,444.0,358.0,802.0,344.4,314.7,659.1,397.6,169.9,568.1
2019-20,518.2,341.3,859.5,349.7,272.2,621.9,491.5,247.0,738.9
2020-21,601.7,389.9,991.6,568.6,368.4,937.0,499.3,273.0,779.3
2021-22,575.9,433.5,1009.4,552.1,505.9,1058.0,550.4,189.9,745.2
2022-23,543.2,187.9,731.1,639.9,291.6,931.5,433.8,83.5,521.6
2023-24,525.5,262.0,787.5,405.1,271.8,676.9,531.5,75.0,610.3
2024-25,544.8,266.1,810.8,427.0,222.5,649.5,631.0,117.9,750.3
