year,crop,state,quantity_lmt,source,as_of,note
2010-11,rice,Andhra Pradesh,96.09,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2011-12,rice,Andhra Pradesh,75.48,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2012-13,rice,Andhra Pradesh,64.86,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2013-14,rice,Andhra Pradesh,37.37,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2013-14,rice,Telangana,43.53,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2010-11,rice,Assam,0.16,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2011-12,rice,Assam,0.23,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2012-13,rice,Assam,0.2,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2013-14,rice,Assam,0.0,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2010-11,rice,Bihar,8.83,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2011-12,rice,Bihar,15.34,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2012-13,rice,Bihar,13.03,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2013-14,rice,Bihar,9.42,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2010-11,rice,Chandigarh,0.1,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2011-12,rice,Chandigarh,0.13,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2012-13,rice,Chandigarh,0.12,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2013-14,rice,Chandigarh,0.12,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2010-11,rice,Chhattisgarh,37.46,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2011-12,rice,Chhattisgarh,41.15,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2012-13,rice,Chhattisgarh,48.04,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2013-14,rice,Chhattisgarh,42.9,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2010-11,rice,Delhi,0.0,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2011-12,rice,Delhi,0.0,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2012-13,rice,Delhi,0.0,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2013-14,rice,Delhi,0.0,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2010-11,rice,Gujarat,0.0,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2011-12,rice,Gujarat,0.04,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2012-13,rice,Gujarat,0.0,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2013-14,rice,Gujarat,0.0,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2010-11,rice,Haryana,16.87,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2011-12,rice,Haryana,20.07,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2012-13,rice,Haryana,26.09,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2013-14,rice,Haryana,24.06,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2010-11,rice,Himachal Pradesh,0.01,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2011-12,rice,Himachal Pradesh,0.01,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2012-13,rice,Himachal Pradesh,0.01,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2013-14,rice,Himachal Pradesh,0.0,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2010-11,rice,Jharkhand,0.0,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2011-12,rice,Jharkhand,2.75,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2012-13,rice,Jharkhand,2.15,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2013-14,rice,Jharkhand,0.0,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2010-11,rice,Jammu & Kashmir,0.11,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2011-12,rice,Jammu & Kashmir,0.09,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2012-13,rice,Jammu & Kashmir,0.02,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2013-14,rice,Jammu & Kashmir,0.0,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2010-11,rice,Karnataka,1.8,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2011-12,rice,Karnataka,3.57,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2012-13,rice,Karnataka,0.59,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2013-14,rice,Karnataka,0.0,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2010-11,rice,Kerala,2.63,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2011-12,rice,Kerala,3.76,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2012-13,rice,Kerala,2.4,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2013-14,rice,Kerala,3.59,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2010-11,rice,Madhya Pradesh,5.16,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2011-12,rice,Madhya Pradesh,6.35,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2012-13,rice,Madhya Pradesh,8.98,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2013-14,rice,Madhya Pradesh,10.45,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2010-11,rice,Maharashtra,3.08,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2011-12,rice,Maharashtra,1.9,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2012-13,rice,Maharashtra,1.92,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2013-14,rice,Maharashtra,1.61,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2010-11,rice,Nagaland,0.0,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2011-12,rice,Nagaland,0.0,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2012-13,rice,Nagaland,0.0,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2013-14,rice,Nagaland,0.0,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2010-11,rice,Odisha,24.65,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2011-12,rice,Odisha,28.66,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2012-13,rice,Odisha,36.15,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2013-14,rice,Odisha,28.01,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2010-11,rice,Puducherry,0.4,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2011-12,rice,Puducherry,0.05,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2012-13,rice,Puducherry,0.0,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2013-14,rice,Puducherry,0.0,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2010-11,rice,Punjab,86.34,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2011-12,rice,Punjab,77.31,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2012-13,rice,Punjab,85.58,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2013-14,rice,Punjab,81.06,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2010-11,rice,Rajasthan,0.0,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2011-12,rice,Rajasthan,0.0,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2012-13,rice,Rajasthan,0.0,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2013-14,rice,Rajasthan,0.0,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2010-11,rice,Tamil Nadu,15.43,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2011-12,rice,Tamil Nadu,15.96,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2012-13,rice,Tamil Nadu,4.81,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2013-14,rice,Tamil Nadu,6.84,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2010-11,rice,Uttar Pradesh,25.54,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2011-12,rice,Uttar Pradesh,33.57,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2012-13,rice,Uttar Pradesh,22.86,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2013-14,rice,Uttar Pradesh,11.27,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2010-11,rice,Uttarakhand,4.22,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2011-12,rice,Uttarakhand,3.78,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2012-13,rice,Uttarakhand,4.97,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2013-14,rice,Uttarakhand,4.63,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2010-11,rice,West Bengal,13.1,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2011-12,rice,West Bengal,20.41,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2012-13,rice,West Bengal,17.66,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2013-14,rice,West Bengal,13.59,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2010-11,rice,ALL_INDIA,341.98,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2011-12,rice,ALL_INDIA,350.6,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2012-13,rice,ALL_INDIA,340.44,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2013-14,rice,ALL_INDIA,318.45,https://www.data.gov.in (resource fc60774a-67a9-4e65-945b-f537553eb505),,
2014-15,rice,Andhra Pradesh,35.96,https://www.data.gov.in (resource fa1fdb29-f1ea-4a55-a413-9e6a2bcf88b6),,
2015-16,rice,Andhra Pradesh,43.36,https://www.data.gov.in (resource fa1fdb29-f1ea-4a55-a413-9e6a2bcf88b6),,
2016-17,rice,Andhra Pradesh,37.24,https://www.data.gov.in (resource fa1fdb29-f1ea-4a55-a413-9e6a2bcf88b6),,
2014-15,rice,Telangana,35.04,https://www.data.gov.in (resource fa1fdb29-f1ea-4a55-a413-9e6a2bcf88b6),,
2015-16,rice,Telangana,15.79,https://www.data.gov.in (resource fa1fdb29-f1ea-4a55-a413-9e6a2bcf88b6),,
2016-17,rice,Telangana,35.96,https://www.data.gov.in (resource fa1fdb29-f1ea-4a55-a413-9e6a2bcf88b6),,
2014-15,rice,Assam,0.15,https://www.data.gov.in (resource fa1fdb29-f1ea-4a55-a413-9e6a2bcf88b6),,
2015-16,rice,Assam,0.42,https://www.data.gov.in (resource fa1fdb29-f1ea-4a55-a413-9e6a2bcf88b6),,
2016-17,rice,Assam,0.46,https://www.data.gov.in (resource fa1fdb29-f1ea-4a55-a413-9e6a2bcf88b6),,
