year,crop,production_lmt,procured_lmt,procurement_share_pct,agency,source,as_of,note
2010-11,rice,960.0,341.98,35.6,FCI_state_agencies,production: https://www.indiabudget.gov.in/budget2021-22/economicsurvey/doc/Statistical-Appendix-in-English.pdf; procurement: see procurement_by_year.csv,,"procurement year = marketing season (KMS Oct-Sep for rice, RMS Apr-Mar for wheat); production year = agricultural year Jul-Jun"
2011-12,rice,1053.0,350.6,33.3,FCI_state_agencies,production: https://www.indiabudget.gov.in/budget2021-22/economicsurvey/doc/Statistical-Appendix-in-English.pdf; procurement: see procurement_by_year.csv,,"procurement year = marketing season (KMS Oct-Sep for rice, RMS Apr-Mar for wheat); production year = agricultural year Jul-Jun"
2012-13,rice,1052.0,340.44,32.4,FCI_state_agencies,production: https://www.indiabudget.gov.in/budget2024-25(I)/economicsurvey/doc/Statistical-Appendix-in-English.pdf; procurement: see procurement_by_year.csv,,"procurement year = marketing season (KMS Oct-Sep for rice, RMS Apr-Mar for wheat); production year = agricultural year Jul-Jun"
2013-14,rice,1066.0,318.45,29.9,FCI_state_agencies,production: https://www.indiabudget.gov.in/budget2024-25(I)/economicsurvey/doc/Statistical-Appendix-in-English.pdf; procurement: see procurement_by_year.csv,,"procurement year = marketing season (KMS Oct-Sep for rice, RMS Apr-Mar for wheat); production year = agricultural year Jul-Jun"
2014-15,rice,1055.0,320.4,30.4,FCI_state_agencies,production: https://www.indiabudget.gov.in/budget2024-25(I)/economicsurvey/doc/Statistical-Appendix-in-English.pdf; procurement: see procurement_by_year.csv,,"procurement year = marketing season (KMS Oct-Sep for rice, RMS Apr-Mar for wheat); production year = agricultural year Jul-Jun"
2015-16,rice,1044.0,342.18,32.8,FCI_state_agencies,production: https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.15.pdf; procurement: see procurement_by_year.csv,,"procurement year = marketing season (KMS Oct-Sep for rice, RMS Apr-Mar for wheat); production year = agricultural year Jul-Jun"
2016-17,rice,1097.0,381.06,34.7,FCI_state_agencies,production: https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.15.pdf; procurement: see procurement_by_year.csv,,"procurement year = marketing season (KMS Oct-Sep for rice, RMS Apr-Mar for wheat); production year = agricultural year Jul-Jun"
2017-18,rice,1128.0,381.85,33.9,FCI_state_agencies,production: https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.15.pdf; procurement: see procurement_by_year.csv,,"procurement year = marketing season (KMS Oct-Sep for rice, RMS Apr-Mar for wheat); production year = agricultural year Jul-Jun"
2018-19,rice,1165.0,443.99,38.1,FCI_state_agencies,production: https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.15.pdf; procurement: see procurement_by_year.csv,,"procurement year = marketing season (KMS Oct-Sep for rice, RMS Apr-Mar for wheat); production year = agricultural year Jul-Jun"
2019-20,rice,1189.0,519.97,43.7,FCI_state_agencies,production: https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.15.pdf; procurement: see procurement_by_year.csv,,"procurement year = marketing season (KMS Oct-Sep for rice, RMS Apr-Mar for wheat); production year = agricultural year Jul-Jun"
2020-21,rice,1244.0,601.73,48.4,FCI_state_agencies,production: https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.15.pdf; procurement: see procurement_by_year.csv,,"procurement year = marketing season (KMS Oct-Sep for rice, RMS Apr-Mar for wheat); production year = agricultural year Jul-Jun"
2021-22,rice,1295.0,575.88,44.5,FCI_state_agencies,production: https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.15.pdf; procurement: see procurement_by_year.csv,,"procurement year = marketing season (KMS Oct-Sep for rice, RMS Apr-Mar for wheat); production year = agricultural year Jul-Jun"
2022-23,rice,1358.0,568.66,41.9,FCI_state_agencies,production: https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.15.pdf; procurement: see procurement_by_year.csv,,"procurement year = marketing season (KMS Oct-Sep for rice, RMS Apr-Mar for wheat); production year = agricultural year Jul-Jun"
2023-24,rice,1378.0,525.44,38.1,FCI_state_agencies,production: https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.15.pdf; procurement: see procurement_by_year.csv,,"procurement year = marketing season (KMS Oct-Sep for rice, RMS Apr-Mar for wheat); production year = agricultural year Jul-Jun"
2024-25,rice,1502.0,544.8,36.3,FCI_state_agencies,production: https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.15.pdf; procurement: see procurement_by_year.csv,,"official rice-terms figure, Economic Survey Statistical Appendix Table 26 (supersedes earlier 832.17x0.67 derivation)"
2011-12,wheat,935.0,283.35,30.3,FCI_state_agencies,production: https://www.indiabudget.gov.in/budget2021-22/economicsurvey/doc/Statistical-Appendix-in-English.pdf; procurement: see procurement_by_year.csv,,"procurement year = marketing season (KMS Oct-Sep for rice, RMS Apr-Mar for wheat); production year = agricultural year Jul-Jun"
2012-13,wheat,935.0,381.48,40.8,FCI_state_agencies,production: https://www.indiabudget.gov.in/budget2024-25(I)/economicsurvey/doc/Statistical-Appendix-in-English.pdf; procurement: see procurement_by_year.csv,,"procurement year = marketing season (KMS Oct-Sep for rice, RMS Apr-Mar for wheat); production year = agricultural year Jul-Jun"
2013-14,wheat,958.0,250.92,26.2,FCI_state_agencies,production: https://www.indiabudget.gov.in/budget2024-25(I)/economicsurvey/doc/Statistical-Appendix-in-English.pdf; procurement: see procurement_by_year.csv,,"procurement year = marketing season (KMS Oct-Sep for rice, RMS Apr-Mar for wheat); production year = agricultural year Jul-Jun"
2014-15,wheat,865.0,280.23,32.4,FCI_state_agencies,production: https://www.indiabudget.gov.in/budget2024-25(I)/economicsurvey/doc/Statistical-Appendix-in-English.pdf; procurement: see procurement_by_year.csv,,"procurement year = marketing season (KMS Oct-Sep for rice, RMS Apr-Mar for wheat); production year = agricultural year Jul-Jun"
2015-16,wheat,923.0,280.88,30.4,FCI_state_agencies,production: https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.15.pdf; procurement: see procurement_by_year.csv,,"procurement year = marketing season (KMS Oct-Sep for rice, RMS Apr-Mar for wheat); production year = agricultural year Jul-Jun"
2016-17,wheat,985.0,229.61,23.3,FCI_state_agencies,production: https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.15.pdf; procurement: see procurement_by_year.csv,,"procurement year = marketing season (KMS Oct-Sep for rice, RMS Apr-Mar for wheat); production year = agricultural year Jul-Jun"
2017-18,wheat,999.0,308.24,30.9,FCI_state_agencies,production: https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.15.pdf; procurement: see procurement_by_year.csv,,"procurement year = marketing season (KMS Oct-Sep for rice, RMS Apr-Mar for wheat); production year = agricultural year Jul-Jun"
2018-19,wheat,1036.0,357.95,34.6,FCI_state_agencies,production: https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.15.pdf; procurement: see procurement_by_year.csv,,"procurement year = marketing season (KMS Oct-Sep for rice, RMS Apr-Mar for wheat); production year = agricultural year Jul-Jun"
2019-20,wheat,1079.0,341.33,31.6,FCI_state_agencies,production: https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.15.pdf; procurement: see procurement_by_year.csv,,"procurement year = marketing season (KMS Oct-Sep for rice, RMS Apr-Mar for wheat); production year = agricultural year Jul-Jun"
2020-21,wheat,1096.0,389.92,35.6,FCI_state_agencies,production: https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.15.pdf; procurement: see procurement_by_year.csv,,"procurement year = marketing season (KMS Oct-Sep for rice, RMS Apr-Mar for wheat); production year = agricultural year Jul-Jun"
2021-22,wheat,1077.0,433.44,40.2,FCI_state_agencies,production: https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.15.pdf; procurement: see procurement_by_year.csv,,"procurement year = marketing season (KMS Oct-Sep for rice, RMS Apr-Mar for wheat); production year = agricultural year Jul-Jun"
2022-23,wheat,1106.0,187.92,17.0,FCI_state_agencies,production: https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.15.pdf; procurement: see procurement_by_year.csv,,"procurement year = marketing season (KMS Oct-Sep for rice, RMS Apr-Mar for wheat); production year = agricultural year Jul-Jun"
2023-24,wheat,1133.0,262.02,23.1,FCI_state_agencies,production: https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.15.pdf; procurement: see procurement_by_year.csv,,"procurement year = marketing season (KMS Oct-Sep for rice, RMS Apr-Mar for wheat); production year = agricultural year Jul-Jun"
2024-25,wheat,1179.0,266.05,22.6,FCI_state_agencies,production: https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.15.pdf; procurement: see procurement_by_year.csv,,"procurement year = marketing season (KMS Oct-Sep for rice, RMS Apr-Mar for wheat); production year = agricultural year Jul-Jun"
2025-26,wheat,,300.35,,FCI_state_agencies,production: https://www.indiabudget.gov.in/budget2021-22/economicsurvey/doc/Statistical-Appendix-in-English.pdf; procurement: see procurement_by_year.csv,,"procurement year = marketing season (KMS Oct-Sep for rice, RMS Apr-Mar for wheat); production year = agricultural year Jul-Jun"
2015-16,coarsegrains,385.0,2.6,0.7,FCI_state_agencies,production: https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.15.pdf; procurement: see procurement_by_year.csv,,
2016-17,coarsegrains,438.0,0.72,0.2,FCI_state_agencies,production: https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.15.pdf; procurement: see procurement_by_year.csv,,
2017-18,coarsegrains,470.0,0.7,0.1,FCI_state_agencies,production: https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.15.pdf; procurement: see procurement_by_year.csv,,
2018-19,coarsegrains,431.0,2.18,0.5,FCI_state_agencies,production: https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.15.pdf; procurement: see procurement_by_year.csv,,
2019-20,coarsegrains,477.0,4.32,0.9,FCI_state_agencies,production: https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.15.pdf; procurement: see procurement_by_year.csv,,
2020-21,coarsegrains,513.0,7.1,1.4,FCI_state_agencies,production: https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.15.pdf; procurement: see procurement_by_year.csv,,
2021-22,coarsegrains,511.0,6.29,1.2,FCI_state_agencies,production: https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.15.pdf; procurement: see procurement_by_year.csv,,
2022-23,coarsegrains,573.0,7.37,1.3,FCI_state_agencies,production: https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.15.pdf; procurement: see procurement_by_year.csv,,
2023-24,coarsegrains,569.0,12.55,2.2,FCI_state_agencies,production: https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.15.pdf; procurement: see procurement_by_year.csv,,
2017-18,moong,20.2,2.99,14.8,NAFED_PSS,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2017-18,urad,14.3,3.64,25.4,NAFED_PSS,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2017-18,tur,42.9,8.74,20.4,NAFED_PSS,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2017-18,gram,113.8,27.69,24.3,NAFED_PSS,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2017-18,masur,16.2,2.47,15.2,NAFED_PSS,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2017-18,groundnut,92.53,10.52,11.4,NAFED_PSS,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2017-18,mustard,84.3,8.74,10.4,NAFED_PSS,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2017-18,nigerseed,0.7,,,NAFED_PSS,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2017-18,soybean,109.33,0.72,0.7,NAFED_PSS,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2017-18,sunflower,2.22,0.03,1.2,NAFED_PSS,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2017-18,jowar,48.0,0.03,0.1,FCI_state_agencies,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2017-18,bajra,92.1,0.2,0.2,FCI_state_agencies,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2017-18,maize,287.5,0.48,0.2,FCI_state_agencies,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2017-18,ragi,19.9,,,FCI_state_agencies,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2018-19,moong,24.6,3.29,13.4,NAFED_PSS,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2018-19,urad,17.8,4.92,27.7,NAFED_PSS,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2018-19,tur,33.2,2.91,8.8,NAFED_PSS,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2018-19,gram,99.4,7.76,7.8,NAFED_PSS,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2018-19,masur,12.3,0.56,4.6,NAFED_PSS,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2018-19,groundnut,67.27,7.18,10.7,NAFED_PSS,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2018-19,mustard,92.56,10.89,11.8,NAFED_PSS,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2018-19,nigerseed,0.45,0.0,0.0,NAFED_PSS,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2018-19,soybean,132.68,17.02,12.8,NAFED_PSS,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2018-19,sunflower,2.16,0.03,1.5,NAFED_PSS,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2018-19,jowar,34.8,0.12,0.3,FCI_state_agencies,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2018-19,bajra,86.6,0.99,1.1,FCI_state_agencies,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2018-19,maize,277.2,0.12,0.0,FCI_state_agencies,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2018-19,ragi,12.4,0.94,7.6,FCI_state_agencies,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2019-20,moong,25.1,1.47,5.9,NAFED_PSS,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2019-20,urad,18.3,0.0,0.0,NAFED_PSS,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2019-20,tur,38.9,7.33,18.8,NAFED_PSS,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2019-20,gram,110.8,21.58,19.5,NAFED_PSS,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2019-20,masur,11.0,0.01,0.1,NAFED_PSS,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2019-20,groundnut,99.52,7.23,7.3,NAFED_PSS,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2019-20,mustard,91.24,8.04,8.8,NAFED_PSS,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2019-20,nigerseed,0.41,,,NAFED_PSS,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2019-20,soybean,112.26,0.11,0.1,NAFED_PSS,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2019-20,sunflower,2.13,0.05,2.5,NAFED_PSS,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2019-20,jowar,47.7,0.23,0.5,FCI_state_agencies,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2019-20,bajra,103.6,1.0,1.0,FCI_state_agencies,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2019-20,maize,287.7,1.15,0.4,FCI_state_agencies,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2019-20,ragi,17.6,1.93,11.0,FCI_state_agencies,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2020-21,moong,26.2,0.14,0.5,NAFED_PSS,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2020-21,urad,20.2,0.0,0.0,NAFED_PSS,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2020-21,tur,38.8,0.11,0.3,NAFED_PSS,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2020-21,gram,116.2,0.22,0.2,NAFED_PSS,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2020-21,masur,13.5,,,NAFED_PSS,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2020-21,groundnut,101.46,2.84,2.8,NAFED_PSS,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2020-21,mustard,104.27,,,NAFED_PSS,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2020-21,nigerseed,0.41,,,NAFED_PSS,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2020-21,soybean,137.11,0.0,0.0,NAFED_PSS,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
