state,agency,capacity_lmt,as_of,source,note
Bihar,FCI_owned,3.45,2024-11-30,"https://dfpd.gov.in/WriteReadData/FoodBulletinUploadDocuments/8e0ba45f-affc-4309-8a2d-f6c8d01156b7_Foodgrain%20Bulletin%20fot%20November,%202024.pdf","FCI covered storage (owned+hired), avg capacity Nov-2024"
Bihar,FCI_owned_silo,0.0,2024-11-30,"https://dfpd.gov.in/WriteReadData/FoodBulletinUploadDocuments/8e0ba45f-affc-4309-8a2d-f6c8d01156b7_Foodgrain%20Bulletin%20fot%20November,%202024.pdf","FCI covered storage (owned+hired), avg capacity Nov-2024"
Bihar,hired_state_govt,0.03,2024-11-30,"https://dfpd.gov.in/WriteReadData/FoodBulletinUploadDocuments/8e0ba45f-affc-4309-8a2d-f6c8d01156b7_Foodgrain%20Bulletin%20fot%20November,%202024.pdf","FCI covered storage (owned+hired), avg capacity Nov-2024"
Bihar,hired_CWC,1.08,2024-11-30,"https://dfpd.gov.in/WriteReadData/FoodBulletinUploadDocuments/8e0ba45f-affc-4309-8a2d-f6c8d01156b7_Foodgrain%20Bulletin%20fot%20November,%202024.pdf","FCI covered storage (owned+hired), avg capacity Nov-2024"
Bihar,hired_SWC,2.83,2024-11-30,"https://dfpd.gov.in/WriteReadData/FoodBulletinUploadDocuments/8e0ba45f-affc-4309-8a2d-f6c8d01156b7_Foodgrain%20Bulletin%20fot%20November,%202024.pdf","FCI covered storage (owned+hired), avg capacity Nov-2024"
Bihar,hired_PEG,1.56,2024-11-30,"https://dfpd.gov.in/WriteReadData/FoodBulletinUploadDocuments/8e0ba45f-affc-4309-8a2d-f6c8d01156b7_Foodgrain%20Bulletin%20fot%20November,%202024.pdf","FCI covered storage (owned+hired), avg capacity Nov-2024"
Bihar,hired_PWS2010,0.22,2024-11-30,"https://dfpd.gov.in/WriteReadData/FoodBulletinUploadDocuments/8e0ba45f-affc-4309-8a2d-f6c8d01156b7_Foodgrain%20Bulletin%20fot%20November,%202024.pdf","FCI covered storage (owned+hired), avg capacity Nov-2024"
Bihar,hired_silo,1.5,2024-11-30,"https://dfpd.gov.in/WriteReadData/FoodBulletinUploadDocuments/8e0ba45f-affc-4309-8a2d-f6c8d01156b7_Foodgrain%20Bulletin%20fot%20November,%202024.pdf","FCI covered storage (owned+hired), avg capacity Nov-2024"
Bihar,hired_private,0.08,2024-11-30,"https://dfpd.gov.in/WriteReadData/FoodBulletinUploadDocuments/8e0ba45f-affc-4309-8a2d-f6c8d01156b7_Foodgrain%20Bulletin%20fot%20November,%202024.pdf","FCI covered storage (owned+hired), avg capacity Nov-2024"
Jharkhand,FCI_owned,0.89,2024-11-30,"https://dfpd.gov.in/WriteReadData/FoodBulletinUploadDocuments/8e0ba45f-affc-4309-8a2d-f6c8d01156b7_Foodgrain%20Bulletin%20fot%20November,%202024.pdf","FCI covered storage (owned+hired), avg capacity Nov-2024"
Jharkhand,FCI_owned_silo,0.0,2024-11-30,"https://dfpd.gov.in/WriteReadData/FoodBulletinUploadDocuments/8e0ba45f-affc-4309-8a2d-f6c8d01156b7_Foodgrain%20Bulletin%20fot%20November,%202024.pdf","FCI covered storage (owned+hired), avg capacity Nov-2024"
