metric,value,basis
avg_central_pool_stock_lmt,542,"rice+wheat+coarse, 48 monthly obs 2021-2024, DFPD Foodgrain Bulletin"
peak_stock_lmt,910,"Jun-2021 (record)"
trough_stock_lmt,298,"Jan-2023"
covered_cap_capacity_lmt,900,"~FCI+State covered+CAP mid-period"
avg_utilisation_pct,60,"avg stock / capacity"
peak_utilisation_pct,101,"peak overflow into CAP/hired"
trough_utilisation_pct,33,"post-drawdown low"
annual_offtake_lmt,610,"TPDS 603.8 + OWS 4.78 + additional 1.69 (Year-End Review 2024-25 allocation)"
turnover_x_per_year,1.13,"annual offtake / avg stock"
fifo_avg_residence_months,10.7,"12 / turnover -- grain sits ~1 yr on average under FIFO"
lifo_dead_layer_lmt,298,"static base never cycled under LIFO -> ages 2-3+ crop yrs"
working_layer_lmt,244,"avg minus trough -- the portion that actually churns"
scheme_tpds_nfsa_pct,90.9,"share of scheme dispersal"
scheme_pm_poshan_pct,3.8,"share of scheme dispersal"
scheme_icds_wbnp_pct,4.2,"share of scheme dispersal"
scheme_other_welfare_pct,0.8,"share of scheme dispersal"
fci_follows_fifo,yes,"RS UQ-2435 17-Dec-2024: 'First in First Out (FIFO) is followed'"
non_issuable_pct_of_offtake_range,0.002-0.022,"FY2019-20 to 2023-24; damage negligible (RS UQ-2435)"
static_base_carrying_cost_rs_cr,16700,"~298 LMT x ~Rs5.6/kg/yr -- opportunity cost, not spoilage"
actual_offtake_range_lmt,455-766,"FY2019-20 to 2023-24; avg ~611 (RS UQ-2435)"
